EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
526648,청도 소싸움축제,20230414,20230416,128.7236148,35.68753187,경상북도 청도군 화양읍 남성현로 348,A02070200,205
526160,구리 유채꽃 한강예술제,20230512,20230514,127.132879,37.5745311,경기도 구리시 코스모스길14번길 249,A02070200,115
525883,렛츠런파크 서울 야간벚꽃축제,20230401,20230409,127.0129712,37.44881298,경기도 과천시 경마공원대로 107,A02070200,112
525445,영암왕인문화축제,20230330,20230402,126.628215,34.75764446,전라남도 영암군 왕인로 440 왕인박사유적지,A02070100,257
525292,논산딸기축제,20230308,20230312,127.1024447,36.19428128,"충청남도 논산시 체육로 110 육상보조경기장,종합운동장,화장실",A02070200,173
523079,진해군항제,20230325,20230403,128.6606239,35.14983844,경상남도 창원시 진해구 평안동,A02070200,223
513326,제19회 안산국제거리극축제,20230505,20230507,126.8298362,37.31079239,경기도 안산시 단원구 광덕대로 157,A02080200,124
513291,광화문국제아트페스티벌,20221102,20221115,126.9768377,37.57217578,서울특별시 종로구 세종대로 175,A02080500,57
511801,고창 청보리밭축제,20230415,20230507,126.5418963,35.37652591,전라북도 고창군 학원농장길 158-15,A02070200,229
507599,얼음나라화천 산천어축제,20230107,20230129,127.7099023,38.11268184,강원도 화천군 화천읍 산천어길 137,A02070100,157
507598,함평나비대축제,20230428,20230507,126.5222115,35.05920316,전라남도 함평군 함평읍 곤재로 27,A02070100,262
507531,한성백제문화제,20220930,20221002,127.106683,37.51486255,서울특별시 송파구 올림픽로 326 송파구청,A02070100,52
507480,한산모시문화제,20230609,20230611,126.7987055,36.0799252,충청남도 서천군 한산면 충절로 1089,A02070100,178
507454,통영한산대첩축제,20230803,20230812,128.4169561,34.8406409,경상남도 통영시 중앙로 65 통영시립박물관,A02070100,224
507383,하동 야생차문화축제,20230504,20230603,127.6425917,35.22525904,경상남도 하동군 쌍계로 571-25,A02070100,225
